Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite2,TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:47:41,22-01-2025 14:49:43,2m - 2.152s,PASSED
,,,,,,,
Test Cases/TC13_VerifyLogout,TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:47:42,22-01-2025 14:48:24,42.195s,PASSED
"openBrowser("""")",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:47:44,22-01-2025 14:48:03,19.770s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:03,22-01-2025 14:48:04,0.629s,PASSED
"waitForElementVisible(findTestObject(""HomePage/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""), 2)",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:04,22-01-2025 14:48:06,2.332s,PASSED
"click(findTestObject(""HomePage/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:06,22-01-2025 14:48:08,1.544s,PASSED
"click(findTestObject(""HomePage/Page_CURA Healthcare Service/a_Login""))",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:08,22-01-2025 14:48:10,2.092s,PASSED
"setText(findTestObject(""LoginPage/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:10,22-01-2025 14:48:13,3.329s,PASSED
"setEncryptedText(findTestObject(""LoginPage/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:13,22-01-2025 14:48:15,1.939s,PASSED
"click(findTestObject(""LoginPage/Page_CURA Healthcare Service/button_Login""))",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:15,22-01-2025 14:48:17,1.600s,PASSED
"click(findTestObject(""HomePage/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:17,22-01-2025 14:48:18,1.552s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginPage/Page_CURA Healthcare Service/a_Logout""), ""Logout"")",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:18,22-01-2025 14:48:20,1.459s,PASSED
"click(findTestObject(""Object Repository/LoginPage/Page_CURA Healthcare Service/a_Logout""))",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:20,22-01-2025 14:48:21,1.470s,PASSED
"verifyElementText(findTestObject(""HomePage/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",TestCloud - Linux - Chrome 130.0.0.0,,,22-01-2025 14:48:21,22-01-2025 14:48:23,1.476s,PASSED
